mz;rt;intensity;pcgroup_precursorMZ
357.1514686;186.6551708;67.89727967;4 _ 470.2274293
381.1419009;185.8095526;49.10899698;4 _ 470.2274293
382.1285564;185.6448368;40.22056407;4 _ 470.2274293
383.1304143;185.9567133;58.2416084;4 _ 470.2274293
399.1531314;185.9583273;26.26643994;4 _ 470.2274293
400.1563172;185.9583273;33.53381328;4 _ 470.2274293
452.2176809;185.9567133;33.98649309;4 _ 470.2274293
453.2024265;186.4569052;53.42130018;4 _ 470.2274293
454.2055622;186.9554831;32.61533573;4 _ 470.2274293
100.0750952;185.968074;25.61313435;4 _ 502.254486
129.1379791;185.9632006;18.66794297;4 _ 502.254486
211.0751657;186.6527294;11.07100788;4 _ 502.254486
232.0955286;183.1090894;34.50983477;4 _ 502.254486
233.0979559;183.4478837;7.71498663;4 _ 502.254486
239.0694675;186.9712465;31.99230875;4 _ 502.254486
257.0803826;185.9583273;64.08548424;4 _ 502.254486
258.0848683;184.9515048;13.63760278;4 _ 502.254486
263.0702306;186.6409435;21.51680083;4 _ 502.254486
279.0667014;187.3417531;18.07174516;4 _ 502.254486
281.0790336;186.4647869;23.95963406;4 _ 502.254486
283.0620287;185.9583273;26.44911878;4 _ 502.254486
299.0908864;185.968074;11.08632335;4 _ 502.254486
353.1470129;186.4647869;10.67815841;4 _ 502.254486
354.1327378;186.9712465;14.90650213;4 _ 502.254486
356.0902518;184.1896159;36.39881957;4 _ 502.254486
356.1475576;185.4549161;100;4 _ 502.254486
357.1514686;186.6551708;31.49739235;4 _ 502.254486
381.1419009;185.8095526;31.24808911;4 _ 502.254486
382.1285564;185.6448368;79.44028464;4 _ 502.254486
383.1304143;185.9567133;21.92419017;4 _ 502.254486
399.1531314;185.9583273;37.81588563;4 _ 502.254486
400.1563172;185.9583273;11.24042861;4 _ 502.254486
452.2176809;185.9567133;11.39216546;4 _ 502.254486
453.2024265;186.4569052;33.49593958;4 _ 502.254486
454.2055622;186.9554831;10.93255783;4 _ 502.254486
470.2274293;185.1211499;42.7823129;4 _ 502.254486
471.2303916;185.6245611;90.17809883;4 _ 502.254486
472.2329996;185.2915592;29.06237569;4 _ 502.254486
502.254486;185.9513942;45.07347951;4 _ 502.254486
97.02905114;366.5344966;0.457189683;5 _ 611.1620107
